id,method,video_type,video_class,audio_class,overall_class,race,gender,path,fps,frame_count,width,height,duration,has_audio,audio_channels,sample_rate,audio_duration
id00781,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00781\00092.mp4,25.0,114,224,224,4.56,True,1,16000,4.56
id00830,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00830\00143.mp4,25.0,312,224,224,12.48,True,1,16000,12.48
id00944,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00944\00135.mp4,25.0,146,224,224,5.84,True,1,16000,5.84
id00987,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id00987\00160.mp4,25.0,285,224,224,11.4,True,1,16000,11.4
id01036,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01036\00010.mp4,25.0,297,224,224,11.88,True,1,16000,11.88
id01076,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01076\00005.mp4,25.0,115,224,224,4.6,True,1,16000,4.6
id01170,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01170\00021.mp4,25.0,182,224,224,7.28,True,1,16000,7.28
id01171,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01171\00053.mp4,25.0,116,224,224,4.64,True,1,16000,4.64
id01179,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01179\00160.mp4,25.0,123,224,224,4.92,True,1,16000,4.92
id01207,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01207\00320.mp4,25.0,117,224,224,4.68,True,1,16000,4.68
id01236,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01236\00005.mp4,25.0,99,224,224,3.96,True,1,16000,3.96
id01392,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01392\00167.mp4,25.0,212,224,224,8.48,True,1,16000,8.48
id01452,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01452\00001.mp4,25.0,129,224,224,5.16,True,1,16000,5.16
id01521,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01521\00109.mp4,25.0,104,224,224,4.16,True,1,16000,4.16
id01528,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01528\00017.mp4,25.0,162,224,224,6.48,True,1,16000,6.48
id01530,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01530\00002.mp4,25.0,107,224,224,4.28,True,1,16000,4.28
id01544,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01544\00044.mp4,25.0,104,224,224,4.16,True,1,16000,4.16
id01597,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01597\00005.mp4,25.0,141,224,224,5.64,True,1,16000,5.64
id01598,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01598\00044.mp4,25.0,124,224,224,4.96,True,1,16000,4.96
id01610,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01610\00090.mp4,25.0,161,224,224,6.44,True,1,16000,6.44
id01637,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01637\00002.mp4,25.0,145,224,224,5.8,True,1,16000,5.8
id01691,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01691\00045.mp4,25.0,227,224,224,9.08,True,1,16000,9.08
id01717,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01717\00005.mp4,25.0,113,224,224,4.52,True,1,16000,4.52
id01779,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01779\00010.mp4,25.0,149,224,224,5.96,True,1,16000,5.96
id01835,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01835\00130.mp4,25.0,205,224,224,8.2,True,1,16000,8.2
id01856,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01856\00006.mp4,25.0,99,224,224,3.96,True,1,16000,3.96
id01920,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01920\00099.mp4,25.0,167,224,224,6.68,True,1,16000,6.68
id01933,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01933\00028.mp4,25.0,121,224,224,4.84,True,1,16000,4.84
id01972,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01972\00078.mp4,25.0,108,224,224,4.32,True,1,16000,4.32
id01995,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id01995\00071.mp4,25.0,148,224,224,5.92,True,1,16000,5.92
id02005,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02005\00052.mp4,25.0,126,224,224,5.04,True,1,16000,5.04
id02040,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02040\00476.mp4,25.0,106,224,224,4.24,True,1,16000,4.24
id02051,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02051\00015.mp4,25.0,106,224,224,4.24,True,1,16000,4.24
id02268,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02268\00036.mp4,25.0,184,224,224,7.36,True,1,16000,7.36
id02296,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02296\00019.mp4,25.0,126,224,224,5.04,True,1,16000,5.04
id02316,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02316\00094.mp4,25.0,133,224,224,5.32,True,1,16000,5.32
id02342,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02342\00191.mp4,25.0,160,224,224,6.4,True,1,16000,6.4
id02494,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id02494\00050.mp4,25.0,107,224,224,4.28,True,1,16000,4.28
id04727,real,RVRA,0,0,0,African,men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\men\id04727\00007.mp4,25.0,99,224,224,3.96,True,1,16000,3.96
id00220,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00220\00027.mp4,25.0,105,224,224,4.2,True,1,16000,4.2
id00359,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00359\00053.mp4,25.0,99,224,224,3.96,True,1,16000,3.96
id00371,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00371\00099.mp4,25.0,127,224,224,5.08,True,1,16000,5.08
id00460,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00460\00005.mp4,25.0,138,224,224,5.52,True,1,16000,5.52
id00568,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00568\00384.mp4,25.0,210,224,224,8.4,True,1,16000,8.4
id00577,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00577\00010.mp4,25.0,125,224,224,5.0,True,1,16000,5.0
id00592,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00592\00017.mp4,25.0,144,224,224,5.76,True,1,16000,5.76
id00707,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00707\00052.mp4,25.0,106,224,224,4.24,True,1,16000,4.24
id00829,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00829\00271.mp4,25.0,195,224,224,7.8,True,1,16000,7.8
id00832,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id00832\00078.mp4,25.0,120,224,224,4.8,True,1,16000,4.8
id01178,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01178\00028.mp4,25.0,135,224,224,5.4,True,1,16000,5.4
id01532,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01532\00065.mp4,25.0,122,224,224,4.88,True,1,16000,4.88
id01661,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01661\00059.mp4,25.0,104,224,224,4.16,True,1,16000,4.16
id01783,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01783\00015.mp4,25.0,173,224,224,6.92,True,1,16000,6.92
id01838,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01838\00126.mp4,25.0,212,224,224,8.48,True,1,16000,8.48
id01907,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id01907\00148.mp4,25.0,122,224,224,4.88,True,1,16000,4.88
id02071,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02071\00195.mp4,25.0,99,224,224,3.96,True,1,16000,3.96
id02301,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02301\00092.mp4,25.0,102,224,224,4.08,True,1,16000,4.08
id02508,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02508\00083.mp4,25.0,145,224,224,5.8,True,1,16000,5.8
id02586,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02586\00042.mp4,25.0,102,224,224,4.08,True,1,16000,4.08
id02617,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02617\00028.mp4,25.0,228,224,224,9.12,True,1,16000,9.12
id02721,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02721\00424.mp4,25.0,133,224,224,5.32,True,1,16000,5.32
id02808,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02808\00056.mp4,25.0,187,224,224,7.48,True,1,16000,7.48
id02824,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02824\00130.mp4,25.0,126,224,224,5.04,True,1,16000,5.04
id02838,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02838\00080.mp4,25.0,235,224,224,9.4,True,1,16000,9.4
id02948,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id02948\00298.mp4,25.0,103,224,224,4.12,True,1,16000,4.12
id03103,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03103\00130.mp4,25.0,176,224,224,7.04,True,1,16000,7.04
id03569,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03569\00065.mp4,25.0,100,224,224,4.0,True,1,16000,4.0
id03656,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03656\00052.mp4,25.0,155,224,224,6.2,True,1,16000,6.2
id03658,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03658\00077.mp4,25.0,181,224,224,7.24,True,1,16000,7.24
id03713,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03713\00249.mp4,25.0,107,224,224,4.28,True,1,16000,4.28
id03747,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id03747\00273.mp4,25.0,330,224,224,13.2,True,1,16000,13.2
id04055,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04055\00001.mp4,25.0,104,224,224,4.16,True,1,16000,4.16
id04245,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04245\00072.mp4,25.0,208,224,224,8.32,True,1,16000,8.32
id04374,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04374\00032.mp4,25.0,161,224,224,6.44,True,1,16000,6.44
id04376,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04376\00181.mp4,25.0,125,224,224,5.0,True,1,16000,5.0
id04437,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04437\00002.mp4,25.0,160,224,224,6.4,True,1,16000,6.4
id04540,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04540\00078.mp4,25.0,132,224,224,5.28,True,1,16000,5.28
id04547,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04547\00052.mp4,25.0,126,224,224,5.04,True,1,16000,5.04
id04689,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04689\00005.mp4,25.0,183,224,224,7.32,True,1,16000,7.32
id04705,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04705\00408.mp4,25.0,217,224,224,8.68,True,1,16000,8.68
id04736,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04736\00083.mp4,25.0,168,224,224,6.72,True,1,16000,6.72
id04820,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04820\00015.mp4,25.0,116,224,224,4.64,True,1,16000,4.64
id04939,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id04939\00174.mp4,25.0,131,224,224,5.24,True,1,16000,5.24
id05106,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05106\00078.mp4,25.0,103,224,224,4.12,True,1,16000,4.12
id05231,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05231\00149.mp4,25.0,125,224,224,5.0,True,1,16000,5.0
id05235,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05235\00052.mp4,25.0,143,224,224,5.72,True,1,16000,5.72
id05251,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05251\00033.mp4,25.0,100,224,224,4.0,True,1,16000,4.0
id05252,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05252\00052.mp4,25.0,138,224,224,5.52,True,1,16000,5.52
id05980,real,RVRA,0,0,0,African,women,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\African\women\id05980\00143.mp4,25.0,210,224,224,8.4,True,1,16000,8.4
id00018,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00018\00181.mp4,25.0,121,224,224,4.84,True,1,16000,4.84
id00020,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00020\00206.mp4,25.0,275,224,224,11.0,True,1,16000,11.0
id00021,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00021\00010.mp4,25.0,117,224,224,4.68,True,1,16000,4.68
id00029,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00029\00288.mp4,25.0,233,224,224,9.32,True,1,16000,9.32
id00049,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00049\00118.mp4,25.0,164,224,224,6.56,True,1,16000,6.56
id00052,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00052\00015.mp4,25.0,195,224,224,7.8,True,1,16000,7.8
id00060,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00060\00307.mp4,25.0,151,224,224,6.04,True,1,16000,6.04
id00062,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00062\00278.mp4,25.0,306,224,224,12.24,True,1,16000,12.24
id00087,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00087\00002.mp4,25.0,167,224,224,6.68,True,1,16000,6.68
id00088,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00088\00005.mp4,25.0,123,224,224,4.92,True,1,16000,4.92
id00169,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00169\00021.mp4,25.0,124,224,224,4.96,True,1,16000,4.96
id00179,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00179\00143.mp4,25.0,117,224,224,4.68,True,1,16000,4.68
id00184,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00184\00241.mp4,25.0,142,224,224,5.68,True,1,16000,5.68
id00243,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00243\00037.mp4,25.0,133,224,224,5.32,True,1,16000,5.32
id00264,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00264\00257.mp4,25.0,119,224,224,4.76,True,1,16000,4.76
id00345,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00345\00243.mp4,25.0,101,224,224,4.04,True,1,16000,4.04
id00529,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00529\00409.mp4,25.0,133,224,224,5.32,True,1,16000,5.32
id00696,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00696\00005.mp4,25.0,125,224,224,5.0,True,1,16000,5.0
id00708,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00708\00043.mp4,25.0,111,224,224,4.44,True,1,16000,4.44
id00775,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00775\00092.mp4,25.0,104,224,224,4.16,True,1,16000,4.16
id00777,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00777\00160.mp4,25.0,269,224,224,10.76,True,1,16000,10.76
id00943,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00943\00304.mp4,25.0,204,224,224,8.16,True,1,16000,8.16
id00945,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00945\00107.mp4,25.0,124,224,224,4.96,True,1,16000,4.96
id00971,real,RVRA,0,0,0,Caucasian (American),men,..\datasets\FakeAVCeleb_v1.2\FakeAVCeleb_v1.2\RealVideo-RealAudio\Caucasian (American)\men\id00971\00253.mp4,25.0,228,224,224,9.12,True,1,16000,9.12
